state_name,Labor_Intensity_Index
ALABAMA,-0.09753532763195355
ALASKA,6.837290828906376
ARIZONA,1.6390445874728665
ARKANSAS,-0.8934100506844581
CALIFORNIA,2.292185137636676
COLORADO,-0.5402909294139966
CONNECTICUT,1.0678584137827458
DELAWARE,-0.3930563005539618
FLORIDA,-0.5837412537888893
GEORGIA,-0.15792147589130895
HAWAII,2.0127152636935812
IDAHO,-0.6615788710676253
ILLINOIS,-1.2538694968891508
INDIANA,-0.728102298830511
IOWA,-0.8623686296174647
KANSAS,-1.1533278606912334
KENTUCKY,-0.09674657123962815
LOUISIANA,-0.5008399359062465
MAINE,0.09390103610228206
MARYLAND,-0.23075659788872138
MASSACHUSETTS,1.7265791876941752
MICHIGAN,-0.1776341358604184
MINNESOTA,-0.6733029428066998
MISSISSIPPI,-0.30003163649434067
MISSOURI,-0.4695675104949829
MONTANA,-1.1421320459335957
NEBRASKA,-1.0473179340848617
NEVADA,-0.14737176827626172
NEW HAMPSHIRE,0.796155365667634
NEW JERSEY,0.27466401605651747
NEW MEXICO,-0.3017130556651894
NEW YORK,0.08945259986767631
NORTH CAROLINA,-0.20114658938098232
NORTH DAKOTA,-1.9332535445940018
OHIO,-0.3260787767616069
OKLAHOMA,-0.7847955768622762
OREGON,-0.4734386294891122
PENNSYLVANIA,0.00892943370655374
RHODE ISLAND,1.2399857467421873
SOUTH CAROLINA,-0.10382166119371872
SOUTH DAKOTA,-1.0918671719692852
TENNESSEE,-0.19347487412922107
TEXAS,-0.527697536980377
UTAH,-0.2140569095655244
VERMONT,0.4171087981099013
VIRGINIA,0.013783283060908695
WASHINGTON,-0.31059604931655893
WEST VIRGINIA,0.4243395976132575
WISCONSIN,-0.08202774213232569
WYOMING,-0.2791216040268498
