state,land_area_sqmi,operations,SPEND_WORK,SPEND_APP,SPEND_FLC,SPEND_OP,SPEND_AREA,SPEND_WORK_z,SPEND_APP_z,SPEND_FLC_z,SPEND_OP_z,SPEND_AREA_z,mean_spending_2017,emp_farmworker,emp_pesticide_app,emp_flc_supervisor
Alabama,52420,40592.0,1125.1865526443519,2426.27312711246,1594.485466561343,14.212500799338304,11.005605349995049,0.9965420545114565,1.269130845648726,0.18133262699692465,-0.09130242571111648,0.4165807020475614,576913.8324467405,512.7272727272727,237.77777777777777,361.8181818181818
Alaska,663268,990.0,2707.1581792117863,,6101.848594413867,323.582880006796,0.4829828232429848,3.237027498905904,,3.097683621594923,6.573920879109795,-0.6752746716807749,320347.05120672804,118.33333333333333,,52.5
Arizona,113990,19086.0,18.8617406755111,441.4554495977839,387.8279389952362,10.492520426647527,1.7568229218615203,-0.5703031381339457,-0.41007809072758983,-0.5993980975615772,-0.17144746072401357,-0.5430976261380622,200260.2448629947,10617.272727272728,453.6363636363636,516.3636363636364
Arkansas,53179,42625.0,609.5084268437641,1643.444933485951,1838.1087463621695,12.466405360558142,9.992300127753262,0.2662069995422668,0.6068372187444269,0.33896159413383053,-0.12892114034311666,0.3114374500380095,531380.5284937908,871.8181818181819,323.3333333333333,289.09090909090907
California,163696,70521.0,5.947212162989617,419.60909141793735,173.43924073344274,15.32428839361862,6.60177488641371,-0.5885934871311046,-0.4285606950989956,-0.7381117258341312,-0.06734954243123814,-0.040372490412340485,1080684.1418063787,181712.72727272726,2575.4545454545455,6230.909090909091
Colorado,104094,38893.0,58.63485960687211,463.06504510042595,544.0116047870818,3.9800485784625095,1.4870792683741847,-0.5139740026757852,-0.39179579392491753,-0.49834424941310984,-0.3117552666804621,-0.571086946940979,154796.02936214238,2640.0,334.2857142857143,284.54545454545456
Connecticut,5543,5521.0,16.35521239733587,96.57979178505845,131.3692866753752,2.011714554479573,2.0037301200219595,-0.5738530375309405,-0.701852137834497,-0.7653317986083416,-0.35416199560497047,-0.5174778768371345,11106.676055281721,679.0909090909091,115.0,84.54545454545455
Delaware,2489,2302.0,990.1041243733936,1625.8551937078882,1217.9345357883465,44.73102907681709,41.370361163050596,0.805230017524276,0.5919558275927509,-0.062303097555810046,0.5662033330011064,3.567308737966836,102970.82893483293,104.0,63.333333333333336,84.54545454545455
Florida,65758,47590.0,8.720635500172524,41.63424509122159,106.32368334046868,2.7581723046544626,1.996128531562789,-0.5846655945483628,-0.7483375425482962,-0.7815367876727263,-0.33807995308598215,-0.5182666379265792,131261.41997850587,15051.818181818182,3152.7272727272725,1234.5454545454545
Georgia,59425,42439.0,17.63819711603348,71.36782363892695,81.3978961503437,1.2902892312014536,0.9214738692967352,-0.5720359957209937,-0.723182138415523,-0.7976642533774236,-0.36970472755532574,-0.6297756714317063,54758.58468295849,3104.5454545454545,767.2727272727273,672.7272727272727
Hawaii,10932,7328.0,0.0,0.0,0.0,0.0,0.0,-0.597016294507755,-0.7835612294433079,-0.8503302642273945,-0.39750333541104527,-0.7253902573758467,0.0,642.7272727272727,93.33333333333333,83.63636363636364
Idaho,83569,24996.0,293.6645478773758,1467.656833382622,2470.3689447394518,23.53964501672036,7.040852072394574,-0.1811105133898213,0.45811577599118336,0.7480461533494565,0.10964602696357276,0.005187329278606622,588396.9668379421,2003.6363636363637,400.90909090909093,238.1818181818182
Illinois,57914,72651.0,4.145297038747706,7.616072863398191,37.763027947682694,0.12474882255500747,0.15649284641785832,-0.5911454700744764,-0.7771178277358395,-0.8258968558264329,-0.39481568715760657,-0.7091521423168888,9063.126707443847,2186.3636363636365,1190.0,240.0
Indiana,36420,56649.0,618.9321044282127,904.91189375107,3994.0938758667917,13.011560130259198,20.238656502445178,0.2795533909098766,-0.01798152112333473,1.7339256115470338,-0.11717606544275216,1.3746267111181685,737091.8698190533,1190.909090909091,814.5454545454545,184.54545454545453
Iowa,56273,86104.0,27.826230404974854,27.826230404974854,93.22673371348264,0.3090680444159869,0.4729087643522495,-0.557607076827924,-0.7600194929447651,-0.7900107670232781,-0.3908446257514645,-0.6763199828954594,26611.994896394135,956.3636363636364,956.3636363636364,285.45454545454544
Kansas,82278,58569.0,32.405797191744995,35.33050812962812,76.45742774927335,0.30380796393708087,0.2162635047015106,-0.5511212128875864,-0.7536706729201136,-0.8008608318483724,-0.39095795143921475,-0.7029501794248085,17793.72863983089,549.0909090909091,503.6363636363636,232.72727272727272
Kentucky,40408,75966.0,1163.5272173929513,4250.956895124247,2825.7089565257393,11.598707700434506,21.80527195533577,1.0508424603183761,2.8128622039581073,0.9779580036704963,-0.14761523342536484,1.5371829081551456,881107.4291712077,757.2727272727273,207.27272727272728,311.8181818181818
