state,mean_spending_2017,land_area_sqmi,operations,emp_farmworker,emp_pesticide_app,emp_flc_supervisor,SPEND_WORK,SPEND_APP,SPEND_FLC,SPEND_OP,SPEND_AREA,SPEND_WORK_z,SPEND_APP_z,SPEND_FLC_z,SPEND_OP_z,SPEND_AREA_z
Alabama,576913.8324467405,52420,40592.0,400.0,350.0,330.0,1442.284581116851,1648.3252355621157,1748.2237346870922,14.212500799338304,11.005605349995049,1.4309877094364198,0.6058698259214428,0.29775933599821813,-0.11156654007277798,0.37022668867916997
Alaska,323025.83605790284,663268,990.0,,,,,,,326.28872329081094,0.4870215901534566,,,,6.394073744333531,-0.7157361503809503
Arizona,236232.8970213091,113990,19086.0,9120.0,260.0,350.0,25.90272993654705,908.5880654665734,674.9511343465974,12.37728686059463,2.072400184413625,-0.6876186778442765,-0.06333439481380723,-0.447562794265716,-0.1498239940853824,-0.5520580090535057
Arkansas,527405.1245324987,53179,42625.0,620.0,340.0,360.0,850.6534266653204,1551.1915427426432,1465.0142348124962,12.37314075149557,9.91754498077246,0.5460331742658725,0.5179977007421758,0.10108767244270421,-0.149910425195587,0.2578928275237438
California,986750.6347661457,163696,70521.0,149680.0,2670.0,5390.0,6.592401354664255,369.5695261296426,183.07061869501777,13.992294986828686,6.027945916614613,-0.7165028275811387,-0.5509582376609022,-0.7891437063699206,-0.11615702054349741,-0.14367834773702656
Colorado,154796.02936214238,104094,38893.0,1630.0,,130.0,94.96688917922845,,1190.7386874010951,3.9800485784625095,1.4870792683741847,-0.5843133659456637,,-0.089379907938197,-0.3248754965992924,-0.6124878899439568
Connecticut,11106.676055281721,5543,5521.0,310.0,110.0,40.0,35.82798727510232,100.96978232074292,277.666901382043,2.011714554479573,2.0037301200219595,-0.6727726011486843,-0.7939473552985988,-0.723452377899432,-0.3659080142879505,-0.5591476648273108
Delaware,102970.82893483293,2489,2302.0,50.0,80.0,70.0,2059.4165786966587,1287.1353616854117,1471.0118419261846,44.73102907681709,41.370361163050596,2.3540860891412563,0.2791189232273083,0.10525264349390057,0.5246324160594348,3.5051540879367376
Florida,131261.41997850587,65758,47590.0,23480.0,3070.0,1120.0,5.590350084263453,42.75616285944817,117.19769640938024,2.7581723046544626,1.996128531562789,-0.7180016834299939,-0.8466103840372285,-0.8348884190822977,-0.35034711839086646,-0.5599324703460922
Georgia,54758.58468295849,59425,42439.0,2370.0,760.0,610.0,23.104888051881222,72.05076931968223,89.76817161140737,1.2902892312014536,0.9214738692967352,-0.6918036549975174,-0.820108979105211,-0.8539365452042792,-0.3809470762448006,-0.6708822954070672
Hawaii,0.0,10932,7328.0,480.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,-0.7263636596765732,-0.8852898039780853,-0.9162750460418917,-0.4078448563256563,-0.766017382227564
Idaho,588407.4677537789,83569,24996.0,1440.0,190.0,320.0,408.61629705123534,3096.881409230415,1838.773336730559,23.540065120570446,7.040977728030477,-0.11516047590354758,1.9163081066769272,0.3606404924427015,0.08287883522413982,-0.039090607875747516
